chrom	start	end	size	sample	PercALesion	TotalCovLesion	NumSNPLesion	PercANotLesion	TotalCovNotLesion	NumSNPNotLesion
chr08	49000000	49750000	750000	110_SRR6123032_SRR6123031_1110	0.33408071748878926	446	361	0.293	346424	276645
chr09	32750000	33500000	750000	110_SRR6123032_SRR6123031_1110	0.3333333333333333	3	3	0.293	346424	276645
chr09	40000000	41000000	1000000	110_SRR6123032_SRR6123031_1110	0.5	4	3	0.293	346424	276645
chr09	40250000	41000000	750000	110_SRR6123032_SRR6123031_1110	NA	0	0	0.293	346424	276645
chr01	1000000	5750000	4750000	111_SRR6123032_SRR6123031_1111	0.3333333333333333	2496	2001	0.294	347966	277534
chr01	6000000	9250000	3250000	111_SRR6123032_SRR6123031_1111	0.36009933774834435	2416	1958	0.294	347966	277534
chr01	20250000	21000000	750000	111_SRR6123032_SRR6123031_1111	0.3	50	44	0.294	347966	277534
chr01	23250000	24250000	1000000	111_SRR6123032_SRR6123031_1111	0.2	15	10	0.294	347966	277534
chr01	24250000	26000000	1750000	111_SRR6123032_SRR6123031_1111	0.4102239121250528	2367	1945	0.294	347966	277534
chr01	43000000	43750000	750000	111_SRR6123032_SRR6123031_1111	0.3181818181818182	242	177	0.294	347966	277534
chr01	52750000	53500000	750000	111_SRR6123032_SRR6123031_1111	0.10344827586206896	29	23	0.294	347966	277534
chr01	54000000	56000000	2000000	111_SRR6123032_SRR6123031_1111	0.2857142857142857	14	14	0.294	347966	277534
chr01	67000000	68250000	1250000	111_SRR6123032_SRR6123031_1111	0.38697318007662834	261	209	0.294	347966	277534
chr04	13000000	14000000	1000000	111_SRR6123032_SRR6123031_1111	0.19019836639439908	857	701	0.294	347966	277534
chr08	49000000	49750000	750000	111_SRR6123032_SRR6123031_1111	0.4116222760290557	413	341	0.294	347966	277534
chr09	32750000	33500000	750000	111_SRR6123032_SRR6123031_1111	0.3333333333333333	9	6	0.294	347966	277534
chr09	40000000	41000000	1000000	111_SRR6123032_SRR6123031_1111	0.0	2	2	0.294	347966	277534
chr09	40250000	41000000	750000	111_SRR6123032_SRR6123031_1111	NA	0	0	0.294	347966	277534
chr01	1000000	5750000	4750000	112_SRR6123032_SRR6123031_1112	0.35714285714285715	2478	1994	0.292	347235	278183
chr01	6000000	9250000	3250000	112_SRR6123032_SRR6123031_1112	0.3141838351822504	2524	2004	0.292	347235	278183
chr01	20250000	21000000	750000	112_SRR6123032_SRR6123031_1112	0.2	45	40	0.292	347235	278183
chr01	23250000	24250000	1000000	112_SRR6123032_SRR6123031_1112	0.5714285714285714	14	11	0.292	347235	278183
chr01	24250000	26000000	1750000	112_SRR6123032_SRR6123031_1112	0.40025412960609913	2361	1910	0.292	347235	278183
chr01	43000000	43750000	750000	112_SRR6123032_SRR6123031_1112	0.2569832402234637	179	136	0.292	347235	278183
chr01	52750000	53500000	750000	112_SRR6123032_SRR6123031_1112	0.07692307692307693	39	26	0.292	347235	278183
chr01	54000000	56000000	2000000	112_SRR6123032_SRR6123031_1112	0.11764705882352941	17	16	0.292	347235	278183
chr01	67000000	68250000	1250000	112_SRR6123032_SRR6123031_1112	0.39069767441860465	215	179	0.292	347235	278183
chr04	13000000	14000000	1000000	112_SRR6123032_SRR6123031_1112	0.1614457831325301	830	659	0.292	347235	278183
chr08	49000000	49750000	750000	112_SRR6123032_SRR6123031_1112	0.36403508771929827	456	361	0.292	347235	278183
chr09	32750000	33500000	750000	112_SRR6123032_SRR6123031_1112	0.3333333333333333	3	3	0.292	347235	278183
chr09	40000000	41000000	1000000	112_SRR6123032_SRR6123031_1112	0.2727272727272727	11	6	0.292	347235	278183
chr09	40250000	41000000	750000	112_SRR6123032_SRR6123031_1112	NA	0	0	0.292	347235	278183
chr01	1000000	5750000	4750000	113_SRR6123032_SRR6123031_1113	0.3320864505403159	2406	1921	0.291	344959	276279
chr01	6000000	9250000	3250000	113_SRR6123032_SRR6123031_1113	0.3531482205709816	2557	2025	0.291	344959	276279
chr01	20250000	21000000	750000	113_SRR6123032_SRR6123031_1113	0.06976744186046512	43	36	0.291	344959	276279
chr01	23250000	24250000	1000000	113_SRR6123032_SRR6123031_1113	0.2857142857142857	14	14	0.291	344959	276279
chr01	24250000	26000000	1750000	113_SRR6123032_SRR6123031_1113	0.40510159965412884	2313	1868	0.291	344959	276279
chr01	43000000	43750000	750000	113_SRR6123032_SRR6123031_1113	0.4796380090497738	221	168	0.291	344959	276279
chr01	52750000	53500000	750000	113_SRR6123032_SRR6123031_1113	0.08695652173913043	46	32	0.291	344959	276279
chr01	54000000	56000000	2000000	113_SRR6123032_SRR6123031_1113	0.4	15	13	0.291	344959	276279
chr01	67000000	68250000	1250000	113_SRR6123032_SRR6123031_1113	0.4028436018957346	211	177	0.291	344959	276279
chr04	13000000	14000000	1000000	113_SRR6123032_SRR6123031_1113	0.19362186788154898	878	694	0.291	344959	276279
chr08	49000000	49750000	750000	113_SRR6123032_SRR6123031_1113	0.3356643356643357	429	334	0.291	344959	276279
chr09	32750000	33500000	750000	113_SRR6123032_SRR6123031_1113	0.0	5	5	0.291	344959	276279
chr09	40000000	41000000	1000000	113_SRR6123032_SRR6123031_1113	0.6666666666666666	3	3	0.291	344959	276279
chr09	40250000	41000000	750000	113_SRR6123032_SRR6123031_1113	NA	0	0	0.291	344959	276279
chr01	1000000	5750000	4750000	114_SRR6123032_SRR6123031_1114	0.3475206611570248	2420	1949	0.293	345569	276638
chr01	6000000	9250000	3250000	114_SRR6123032_SRR6123031_1114	0.3692370461036312	2451	1931	0.293	345569	276638
chr01	20250000	21000000	750000	114_SRR6123032_SRR6123031_1114	0.20634920634920634	63	58	0.293	345569	276638
chr01	23250000	24250000	1000000	114_SRR6123032_SRR6123031_1114	0.16	25	17	0.293	345569	276638
chr01	24250000	26000000	1750000	114_SRR6123032_SRR6123031_1114	0.37415254237288137	2360	1921	0.293	345569	276638
chr01	43000000	43750000	750000	114_SRR6123032_SRR6123031_1114	0.4041095890410959	146	118	0.293	345569	276638
chr01	52750000	53500000	750000	114_SRR6123032_SRR6123031_1114	0.5416666666666666	24	20	0.293	345569	276638
chr01	54000000	56000000	2000000	114_SRR6123032_SRR6123031_1114	0.2857142857142857	14	12	0.293	345569	276638
chr01	67000000	68250000	1250000	114_SRR6123032_SRR6123031_1114	0.36796536796536794	231	182	0.293	345569	276638
chr04	13000000	14000000	1000000	114_SRR6123032_SRR6123031_1114	0.1872093023255814	860	688	0.293	345569	276638
chr08	49000000	49750000	750000	114_SRR6123032_SRR6123031_1114	0.35858585858585856	396	326	0.293	345569	276638
chr09	32750000	33500000	750000	114_SRR6123032_SRR6123031_1114	0.25	4	3	0.293	345569	276638
chr09	40000000	41000000	1000000	114_SRR6123032_SRR6123031_1114	0.0	2	2	0.293	345569	276638
chr09	40250000	41000000	750000	114_SRR6123032_SRR6123031_1114	NA	0	0	0.293	345569	276638
chr01	1000000	5750000	4750000	115_SRR6123032_SRR6123031_1115	0.3347826086956522	2530	1981	0.292	347856	278264
chr01	6000000	9250000	3250000	115_SRR6123032_SRR6123031_1115	0.34641300039635353	2523	2029	0.292	347856	278264
chr01	20250000	21000000	750000	115_SRR6123032_SRR6123031_1115	0.17543859649122806	57	46	0.292	347856	278264
chr01	23250000	24250000	1000000	115_SRR6123032_SRR6123031_1115	0.3333333333333333	9	8	0.292	347856	278264
chr01	24250000	26000000	1750000	115_SRR6123032_SRR6123031_1115	0.4116360454943132	2286	1843	0.292	347856	278264
chr01	43000000	43750000	750000	115_SRR6123032_SRR6123031_1115	0.3924731182795699	186	158	0.292	347856	278264
chr01	52750000	53500000	750000	115_SRR6123032_SRR6123031_1115	0.11764705882352941	17	12	0.292	347856	278264
chr01	54000000	56000000	2000000	115_SRR6123032_SRR6123031_1115	0.2857142857142857	7	6	0.292	347856	278264
chr01	67000000	68250000	1250000	115_SRR6123032_SRR6123031_1115	0.355	200	168	0.292	347856	278264
chr04	13000000	14000000	1000000	115_SRR6123032_SRR6123031_1115	0.18915801614763553	867	675	0.292	347856	278264
chr08	49000000	49750000	750000	115_SRR6123032_SRR6123031_1115	0.40425531914893614	376	301	0.292	347856	278264
chr09	32750000	33500000	750000	115_SRR6123032_SRR6123031_1115	0.14285714285714285	7	4	0.292	347856	278264
chr09	40000000	41000000	1000000	115_SRR6123032_SRR6123031_1115	NA	0	0	0.292	347856	278264
chr09	40250000	41000000	750000	115_SRR6123032_SRR6123031_1115	NA	0	0	0.292	347856	278264
chr01	1000000	5750000	4750000	116_SRR6123032_SRR6123031_1116	0.3481215027977618	2502	1981	0.293	347023	277149
chr01	6000000	9250000	3250000	116_SRR6123032_SRR6123031_1116	0.35206470838654746	2349	1898	0.293	347023	277149
chr01	20250000	21000000	750000	116_SRR6123032_SRR6123031_1116	0.24074074074074073	54	41	0.293	347023	277149
chr01	23250000	24250000	1000000	116_SRR6123032_SRR6123031_1116	0.14285714285714285	7	7	0.293	347023	277149
chr01	24250000	26000000	1750000	116_SRR6123032_SRR6123031_1116	0.42795698924731185	2325	1903	0.293	347023	277149
chr01	43000000	43750000	750000	116_SRR6123032_SRR6123031_1116	0.32098765432098764	162	135	0.293	347023	277149
chr01	52750000	53500000	750000	116_SRR6123032_SRR6123031_1116	0.23255813953488372	43	33	0.293	347023	277149
chr01	54000000	56000000	2000000	116_SRR6123032_SRR6123031_1116	0.375	24	18	0.293	347023	277149
chr01	67000000	68250000	1250000	116_SRR6123032_SRR6123031_1116	0.38493723849372385	239	201	0.293	347023	277149
chr04	13000000	14000000	1000000	116_SRR6123032_SRR6123031_1116	0.1873508353221957	838	671	0.293	347023	277149
chr08	49000000	49750000	750000	116_SRR6123032_SRR6123031_1116	0.3866995073891626	406	319	0.293	347023	277149
chr09	32750000	33500000	750000	116_SRR6123032_SRR6123031_1116	0.5	4	4	0.293	347023	277149
chr09	40000000	41000000	1000000	116_SRR6123032_SRR6123031_1116	0.0	3	3	0.293	347023	277149
chr09	40250000	41000000	750000	116_SRR6123032_SRR6123031_1116	NA	0	0	0.293	347023	277149
chr01	1000000	5750000	4750000	117_SRR6123032_SRR6123031_1117	0.36401673640167365	2390	1958	0.293	346792	277210
chr01	6000000	9250000	3250000	117_SRR6123032_SRR6123031_1117	0.3394613082513895	2339	1875	0.293	346792	277210
chr01	20250000	21000000	750000	117_SRR6123032_SRR6123031_1117	0.1111111111111111	45	42	0.293	346792	277210
chr01	23250000	24250000	1000000	117_SRR6123032_SRR6123031_1117	0.46153846153846156	13	10	0.293	346792	277210
chr01	24250000	26000000	1750000	117_SRR6123032_SRR6123031_1117	0.40841478963025923	2353	1937	0.293	346792	277210
chr01	43000000	43750000	750000	117_SRR6123032_SRR6123031_1117	0.3333333333333333	180	148	0.293	346792	277210
chr01	52750000	53500000	750000	117_SRR6123032_SRR6123031_1117	0.2	20	18	0.293	346792	277210
chr01	54000000	56000000	2000000	117_SRR6123032_SRR6123031_1117	0.1935483870967742	31	23	0.293	346792	277210
chr01	67000000	68250000	1250000	117_SRR6123032_SRR6123031_1117	0.40086206896551724	232	186	0.293	346792	277210
chr04	13000000	14000000	1000000	117_SRR6123032_SRR6123031_1117	0.21122112211221122	909	717	0.293	346792	277210
chr08	49000000	49750000	750000	117_SRR6123032_SRR6123031_1117	0.40389294403892945	411	333	0.293	346792	277210
chr09	32750000	33500000	750000	117_SRR6123032_SRR6123031_1117	0.3333333333333333	6	4	0.293	346792	277210
chr09	40000000	41000000	1000000	117_SRR6123032_SRR6123031_1117	0.0	3	3	0.293	346792	277210
chr09	40250000	41000000	750000	117_SRR6123032_SRR6123031_1117	NA	0	0	0.293	346792	277210
chr01	1000000	5750000	4750000	118_SRR6123032_SRR6123031_1118	0.35520918785890077	2438	1942	0.292	346844	277777
chr01	6000000	9250000	3250000	118_SRR6123032_SRR6123031_1118	0.3655601659751037	2410	1895	0.292	346844	277777
chr01	20250000	21000000	750000	118_SRR6123032_SRR6123031_1118	0.2463768115942029	69	48	0.292	346844	277777
chr01	23250000	24250000	1000000	118_SRR6123032_SRR6123031_1118	0.17647058823529413	17	16	0.292	346844	277777
chr01	24250000	26000000	1750000	118_SRR6123032_SRR6123031_1118	0.37279596977329976	2382	1943	0.292	346844	277777
chr01	43000000	43750000	750000	118_SRR6123032_SRR6123031_1118	0.4143646408839779	181	145	0.292	346844	277777
chr01	52750000	53500000	750000	118_SRR6123032_SRR6123031_1118	0.06896551724137931	29	20	0.292	346844	277777
chr01	54000000	56000000	2000000	118_SRR6123032_SRR6123031_1118	0.25925925925925924	27	21	0.292	346844	277777
chr01	67000000	68250000	1250000	118_SRR6123032_SRR6123031_1118	0.37751004016064255	249	193	0.292	346844	277777
chr04	13000000	14000000	1000000	118_SRR6123032_SRR6123031_1118	0.18269230769230768	832	668	0.292	346844	277777
chr08	49000000	49750000	750000	118_SRR6123032_SRR6123031_1118	0.39054726368159204	402	318	0.292	346844	277777
chr09	32750000	33500000	750000	118_SRR6123032_SRR6123031_1118	0.5	6	3	0.292	346844	277777
chr09	40000000	41000000	1000000	118_SRR6123032_SRR6123031_1118	0.0	1	1	0.292	346844	277777
chr09	40250000	41000000	750000	118_SRR6123032_SRR6123031_1118	NA	0	0	0.292	346844	277777
chr01	1000000	5750000	4750000	119_SRR6123032_SRR6123031_1119	0.33467904723455794	2477	1943	0.293	346146	276778
chr01	6000000	9250000	3250000	119_SRR6123032_SRR6123031_1119	0.3371805441055235	2426	1948	0.293	346146	276778
chr01	20250000	21000000	750000	119_SRR6123032_SRR6123031_1119	0.391304347826087	46	36	0.293	346146	276778
chr01	23250000	24250000	1000000	119_SRR6123032_SRR6123031_1119	0.5294117647058824	17	15	0.293	346146	276778
chr01	24250000	26000000	1750000	119_SRR6123032_SRR6123031_1119	0.4237435008665511	2308	1881	0.293	346146	276778
chr01	43000000	43750000	750000	119_SRR6123032_SRR6123031_1119	0.3353658536585366	164	142	0.293	346146	276778
chr01	52750000	53500000	750000	119_SRR6123032_SRR6123031_1119	0.34375	32	24	0.293	346146	276778
chr01	54000000	56000000	2000000	119_SRR6123032_SRR6123031_1119	0.43478260869565216	23	18	0.293	346146	276778
chr01	67000000	68250000	1250000	119_SRR6123032_SRR6123031_1119	0.4309623430962343	239	198	0.293	346146	276778
chr04	13000000	14000000	1000000	119_SRR6123032_SRR6123031_1119	0.19318181818181818	880	695	0.293	346146	276778
chr08	49000000	49750000	750000	119_SRR6123032_SRR6123031_1119	0.3656716417910448	402	321	0.293	346146	276778
chr09	32750000	33500000	750000	119_SRR6123032_SRR6123031_1119	0.2	5	4	0.293	346146	276778
chr09	40000000	41000000	1000000	119_SRR6123032_SRR6123031_1119	0.3333333333333333	6	4	0.293	346146	276778
chr09	40250000	41000000	750000	119_SRR6123032_SRR6123031_1119	NA	0	0	0.293	346146	276778
chr01	1000000	5750000	4750000	12_SRR6123032_SRR6123031_1012	0.36174636174636177	2405	1946	0.292	345844	276726
chr01	6000000	9250000	3250000	12_SRR6123032_SRR6123031_1012	0.3588118811881188	2525	2014	0.292	345844	276726
chr01	20250000	21000000	750000	12_SRR6123032_SRR6123031_1012	0.3076923076923077	52	47	0.292	345844	276726
chr01	23250000	24250000	1000000	12_SRR6123032_SRR6123031_1012	0.3888888888888889	18	11	0.292	345844	276726
chr01	24250000	26000000	1750000	12_SRR6123032_SRR6123031_1012	0.4098924731182796	2325	1914	0.292	345844	276726
chr01	43000000	43750000	750000	12_SRR6123032_SRR6123031_1012	0.37888198757763975	161	134	0.292	345844	276726
chr01	52750000	53500000	750000	12_SRR6123032_SRR6123031_1012	0.24	25	21	0.292	345844	276726
chr01	54000000	56000000	2000000	12_SRR6123032_SRR6123031_1012	0.24242424242424243	33	21	0.292	345844	276726
chr01	67000000	68250000	1250000	12_SRR6123032_SRR6123031_1012	0.3674418604651163	215	177	0.292	345844	276726
chr04	13000000	14000000	1000000	12_SRR6123032_SRR6123031_1012	0.20984455958549222	772	625	0.292	345844	276726
chr08	49000000	49750000	750000	12_SRR6123032_SRR6123031_1012	0.3938679245283019	424	329	0.292	345844	276726
chr09	32750000	33500000	750000	12_SRR6123032_SRR6123031_1012	0.4	5	3	0.292	345844	276726
chr09	40000000	41000000	1000000	12_SRR6123032_SRR6123031_1012	0.25	4	4	0.292	345844	276726
chr09	40250000	41000000	750000	12_SRR6123032_SRR6123031_1012	NA	0	0	0.292	345844	276726
chr01	1000000	5750000	4750000	120_SRR6123032_SRR6123031_1120	0.36946386946386944	2574	1995	0.293	347491	277444
chr01	6000000	9250000	3250000	120_SRR6123032_SRR6123031_1120	0.3427035965274907	2419	1937	0.293	347491	277444
chr01	20250000	21000000	750000	120_SRR6123032_SRR6123031_1120	0.32558139534883723	43	37	0.293	347491	277444
chr01	23250000	24250000	1000000	120_SRR6123032_SRR6123031_1120	0.42857142857142855	14	12	0.293	347491	277444
chr01	24250000	26000000	1750000	120_SRR6123032_SRR6123031_1120	0.3918918918918919	2220	1838	0.293	347491	277444
chr01	43000000	43750000	750000	120_SRR6123032_SRR6123031_1120	0.43478260869565216	161	126	0.293	347491	277444
chr01	52750000	53500000	750000	120_SRR6123032_SRR6123031_1120	0.1282051282051282	39	34	0.293	347491	277444
chr01	54000000	56000000	2000000	120_SRR6123032_SRR6123031_1120	0.15789473684210525	19	14	0.293	347491	277444
chr01	67000000	68250000	1250000	120_SRR6123032_SRR6123031_1120	0.3286384976525822	213	159	0.293	347491	277444
chr04	13000000	14000000	1000000	120_SRR6123032_SRR6123031_1120	0.19952210274790919	837	669	0.293	347491	277444
chr08	49000000	49750000	750000	120_SRR6123032_SRR6123031_1120	0.3656387665198238	454	358	0.293	347491	277444
chr09	32750000	33500000	750000	120_SRR6123032_SRR6123031_1120	1.0	1	1	0.293	347491	277444
chr09	40000000	41000000	1000000	120_SRR6123032_SRR6123031_1120	0.0	3	2	0.293	347491	277444
chr09	40250000	41000000	750000	120_SRR6123032_SRR6123031_1120	NA	0	0	0.293	347491	277444
chr01	1000000	5750000	4750000	121_SRR6123032_SRR6123031_1121	0.3448415922014622	2462	1969	0.292	346773	276981
chr01	6000000	9250000	3250000	121_SRR6123032_SRR6123031_1121	0.3669838642945801	2417	1933	0.292	346773	276981
chr01	20250000	21000000	750000	121_SRR6123032_SRR6123031_1121	0.171875	64	47	0.292	346773	276981
chr01	23250000	24250000	1000000	121_SRR6123032_SRR6123031_1121	0.42857142857142855	21	16	0.292	346773	276981
chr01	24250000	26000000	1750000	121_SRR6123032_SRR6123031_1121	0.4191207853179684	2343	1951	0.292	346773	276981
chr01	43000000	43750000	750000	121_SRR6123032_SRR6123031_1121	0.4	195	147	0.292	346773	276981
chr01	52750000	53500000	750000	121_SRR6123032_SRR6123031_1121	0.07692307692307693	26	20	0.292	346773	276981
chr01	54000000	56000000	2000000	121_SRR6123032_SRR6123031_1121	0.4074074074074074	27	20	0.292	346773	276981
chr01	67000000	68250000	1250000	121_SRR6123032_SRR6123031_1121	0.4050632911392405	237	188	0.292	346773	276981
chr04	13000000	14000000	1000000	121_SRR6123032_SRR6123031_1121	0.22235434007134364	841	673	0.292	346773	276981
chr08	49000000	49750000	750000	121_SRR6123032_SRR6123031_1121	0.39012345679012345	405	329	0.292	346773	276981
chr09	32750000	33500000	750000	121_SRR6123032_SRR6123031_1121	0.6	5	3	0.292	346773	276981
chr09	40000000	41000000	1000000	121_SRR6123032_SRR6123031_1121	0.0	6	4	0.292	346773	276981
chr09	40250000	41000000	750000	121_SRR6123032_SRR6123031_1121	NA	0	0	0.292	346773	276981
chr01	1000000	5750000	4750000	122_SRR6123032_SRR6123031_1122	0.35462382445141066	2552	2025	0.293	346802	277477
chr01	6000000	9250000	3250000	122_SRR6123032_SRR6123031_1122	0.34600760456273766	2367	1871	0.293	346802	277477
chr01	20250000	21000000	750000	122_SRR6123032_SRR6123031_1122	0.2708333333333333	48	42	0.293	346802	277477
chr01	23250000	24250000	1000000	122_SRR6123032_SRR6123031_1122	0.25	20	16	0.293	346802	277477
chr01	24250000	26000000	1750000	122_SRR6123032_SRR6123031_1122	0.40235910878112713	2289	1866	0.293	346802	277477
chr01	43000000	43750000	750000	122_SRR6123032_SRR6123031_1122	0.3978494623655914	186	153	0.293	346802	277477
chr01	52750000	53500000	750000	122_SRR6123032_SRR6123031_1122	0.16	25	21	0.293	346802	277477
chr01	54000000	56000000	2000000	122_SRR6123032_SRR6123031_1122	0.125	24	17	0.293	346802	277477
chr01	67000000	68250000	1250000	122_SRR6123032_SRR6123031_1122	0.4144144144144144	222	178	0.293	346802	277477
chr04	13000000	14000000	1000000	122_SRR6123032_SRR6123031_1122	0.1857304643261608	883	702	0.293	346802	277477
chr08	49000000	49750000	750000	122_SRR6123032_SRR6123031_1122	0.35626535626535627	407	328	0.293	346802	277477
chr09	32750000	33500000	750000	122_SRR6123032_SRR6123031_1122	0.0	2	2	0.293	346802	277477
chr09	40000000	41000000	1000000	122_SRR6123032_SRR6123031_1122	0.2	5	3	0.293	346802	277477
chr09	40250000	41000000	750000	122_SRR6123032_SRR6123031_1122	NA	0	0	0.293	346802	277477
chr01	1000000	5750000	4750000	123_SRR6123032_SRR6123031_1123	0.3750504642712959	2477	1991	0.292	346819	277191
chr01	6000000	9250000	3250000	123_SRR6123032_SRR6123031_1123	0.33798882681564246	2506	1958	0.292	346819	277191
chr01	20250000	21000000	750000	123_SRR6123032_SRR6123031_1123	0.15384615384615385	52	42	0.292	346819	277191
chr01	23250000	24250000	1000000	123_SRR6123032_SRR6123031_1123	0.3125	16	14	0.292	346819	277191
chr01	24250000	26000000	1750000	123_SRR6123032_SRR6123031_1123	0.3970460469157255	2302	1883	0.292	346819	277191
chr01	43000000	43750000	750000	123_SRR6123032_SRR6123031_1123	0.46551724137931033	174	151	0.292	346819	277191
